com.SearingMedia.Parrot.features.scheduled.add.AddScheduledRecordingActivity_ViewBinding:  void  <init>(com.SearingMedia.Parrot.features.scheduled.add.AddScheduledRecordingActivity,android.view.View)	com.SearingMedia.Parrot.features.base.BaseActivity_ViewBinding:  void  <init>(com.SearingMedia.Parrot.features.base.BaseActivity,android.view.View)
com.SearingMedia.Parrot.controllers.recorders.AudioRecorder:  void  h()	com.SearingMedia.Parrot.controllers.recorders.AudioRecorder:  void  F()
com.SearingMedia.Parrot.features.backup.BackupActivity:  void  onActivityResult(int,int,android.content.Intent)	com.SearingMedia.Parrot.features.base.BaseActivity:  void  onActivityResult(int,int,android.content.Intent)
com.SearingMedia.Parrot.features.backup.cloud.GoogleDriveController:  void  e()	com.SearingMedia.Parrot.utilities.HandlerUtility:  void  a(android.os.Handler)
com.SearingMedia.Parrot.controllers.drawer.DrawerController:  void  <init>(com.SearingMedia.Parrot.models.DrawerConfigurationModel)	com.SearingMedia.Parrot.controllers.drawer.DrawerHeaderController:  void  <init>(android.view.View,android.app.Activity)
com.SearingMedia.Parrot.features.phonecalls.PhoneCallActivity:  void  onCreate(android.os.Bundle)	com.SearingMedia.Parrot.features.base.BaseActivity:  void  onCreate(android.os.Bundle)
com.SearingMedia.Parrot.features.record.RecordPresenter:  void  w()	com.SearingMedia.Parrot.features.record.RecordFragment:  android.app.Activity  E()
com.SearingMedia.Parrot.utilities.RepairUtility:  void  f(com.SearingMedia.Parrot.models.ParrotFile)	com.SearingMedia.Parrot.utilities.RepairUtility:  boolean  a(com.SearingMedia.Parrot.models.ParrotFile,android.app.Activity)
com.SearingMedia.Parrot.features.tracks.list.TrackListPresenter:  void  g()	com.SearingMedia.Parrot.features.backup.cloud.CloudUploadController:  void  a()
com.SearingMedia.Parrot.controllers.TrackManagerController$$Lambda$10:  void  <clinit>()	com.SearingMedia.Parrot.controllers.TrackManagerController$$Lambda$10:  void  <init>()
com.SearingMedia.Parrot.features.record.RecordAnimationController:  void  onDestroy()	com.SearingMedia.Parrot.utilities.AnimationUtility:  void  a(android.animation.AnimatorSet)
com.SearingMedia.Parrot.features.tracks.list.TrackDetailsOverflowBottomSheet:  void  onRepairClick()	com.SearingMedia.Parrot.utilities.RepairUtility:  boolean  a(com.SearingMedia.Parrot.models.ParrotFile,android.app.Activity)
com.SearingMedia.Parrot.features.play.mini.EffectsDialogFragment:  void  setupDialog(android.app.Dialog,int)	com.SearingMedia.Parrot.features.play.mini.EffectsDialogFragment:  void  b()
com.SearingMedia.Parrot.utilities.files.NewTrackUtility:  java.lang.String  a()	com.SearingMedia.parrotlibrary.utilities.TimeUtility:  java.lang.String  convertMillisecsToDayNumberHumanReadableTwoDigits(long)
com.SearingMedia.Parrot.features.settings.ConvertAACDialogPreference:  android.view.View  onCreateDialogView()	com.SearingMedia.Parrot.features.settings.ConvertAACDialogPreference:  void  a()
com.SearingMedia.Parrot.views.lists.KeyValueAdapter$ViewHolder:  void  <init>(android.view.View)	com.SearingMedia.Parrot.controllers.theme.LightThemeController:  void  b(android.widget.TextView)
io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip:  void  <init>(io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder)	io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder:  android.graphics.drawable.Drawable  o(io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder)
com.SearingMedia.Parrot.features.record.TimedRecordingDialogFragment:  com.SearingMedia.parrotlibrary.models.TimedRecording  a()	com.SearingMedia.Parrot.controllers.di.PersistentStorageController:  int  q()
com.SearingMedia.Parrot.utilities.files.ParrotFileUtility:  void  b(com.SearingMedia.Parrot.models.ParrotFile)	com.SearingMedia.Parrot.controllers.TrackManagerController:  void  a(java.util.List)
com.SearingMedia.Parrot.features.record.RecordAnimationController$8:  void  a(android.animation.Animator)	com.SearingMedia.parrotlibrary.utilities.ViewUtility:  void  goneView(android.view.View)
com.SearingMedia.Parrot.controllers.InstallTimingController:  void  <init>()	com.SearingMedia.Parrot.controllers.InstallTimingController:  boolean  b()
io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip:  void  <init>(io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder)	io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder:  android.view.View  f(io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder)
com.SearingMedia.Parrot.features.play.full.FullPlayerActivity$showWaveTouchingState$1:  void  run()	com.SearingMedia.Parrot.features.play.full.waveform.WaveformView:  void  a()
com.SearingMedia.Parrot.features.record.RecordFragment:  void  d()	com.SearingMedia.Parrot.features.record.RecordFragment$$Lambda$0:  void  <init>(com.SearingMedia.Parrot.features.record.RecordFragment)
com.SearingMedia.Parrot.features.record.TimedRecordingDialogFragment:  com.SearingMedia.parrotlibrary.models.TimedRecording  a()	com.SearingMedia.parrotlibrary.models.TimedRecording:  void  setBitRate(java.lang.String)
com.SearingMedia.Parrot.features.record.RecordFragment:  void  <init>()	com.SearingMedia.Parrot.features.record.RecordFragment$2:  void  <init>(com.SearingMedia.Parrot.features.record.RecordFragment)
com.SearingMedia.Parrot.features.play.playerbar.PlayerBarView:  void  m()	com.SearingMedia.Parrot.utilities.AnimationUtility:  void  a(android.animation.ValueAnimator)
com.SearingMedia.Parrot.features.backup.BackupPresenter:  void  a(com.SearingMedia.Parrot.features.backup.BackupView)	com.SearingMedia.parrotlibrary.utilities.EventBusUtility:  void  register(java.lang.Object)
com.SearingMedia.Parrot.controllers.di.PersistentStorageController:  java.lang.String  t()	com.SearingMedia.Parrot.controllers.di.PersistentStorageController:  java.lang.String  d(java.lang.String,java.lang.String)
io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip:  void  <init>(io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder)	io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder:  boolean  j(io.github.douglasjunior.androidSimpleTooltip.SimpleTooltip$Builder)
com.SearingMedia.Parrot.features.upgrade.buy.ProUpgradeActivity:  com.SearingMedia.Parrot.models.UpgradeFeatureModel  v()	com.SearingMedia.Parrot.models.UpgradeFeatureModel:  void  d(int)
com.SearingMedia.Parrot.controllers.recorders.AACAudioRecorder$RecorderTask:  void  run()	com.SearingMedia.Parrot.controllers.notifications.NotificationController:  void  a(android.content.Context,java.lang.String)
com.SearingMedia.Parrot.features.main.ReleaseNotesBottomSheet:  void  setupDialog(android.app.Dialog,int)	com.SearingMedia.Parrot.controllers.analytics.AnalyticsController:  com.SearingMedia.Parrot.controllers.analytics.AnalyticsController  a()
com.SearingMedia.Parrot.features.scheduled.add.AddScheduledRecordingPresenter:  int  b(int[])	com.SearingMedia.parrotlibrary.models.PendingRecording:  java.lang.Integer  getColor()
com.SearingMedia.Parrot.controllers.recorders.AudioRecorder:  void  <init>(com.SearingMedia.Parrot.interfaces.AudioRecorderListener,com.SearingMedia.parrotlibrary.models.RecordingModel)	com.SearingMedia.Parrot.controllers.di.TimeController:  void  <init>()
com.SearingMedia.Parrot.features.save.SaveActivity_ViewBinding$2:  void  onCheckedChanged(android.widget.CompoundButton,boolean)	com.SearingMedia.Parrot.features.save.SaveActivity:  void  backupToGoogleDriveToggled(boolean)
com.SearingMedia.Parrot.features.init.PhoneCallSourceUtil$2:  void  onCancelled(com.google.firebase.database.DatabaseError)	com.SearingMedia.Parrot.features.init.PhoneCallSourceUtil:  void  a(java.util.concurrent.atomic.AtomicBoolean,java.util.concurrent.ScheduledFuture,com.google.firebase.database.DatabaseReference)
com.SearingMedia.Parrot.features.play.full.FullPlayerActivity:  com.SearingMedia.Parrot.features.play.full.FullPlayerPresenter  W()	com.SearingMedia.Parrot.features.play.full.FullPlayerPresenter:  void  <init>()
com.SearingMedia.Parrot.controllers.recorders.AudioRecorder:  void  a(int,int,int)	com.SearingMedia.Parrot.controllers.recording.ChronometerController:  com.SearingMedia.Parrot.controllers.recording.ChronometerController  a()
com.SearingMedia.Parrot.controllers.permissions.PermissionsController:  java.lang.String[]  e(android.app.Activity)	com.SearingMedia.parrotlibrary.utilities.DeviceUtility:  boolean  isEarlierThanMarshmallow()
